               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.085712,             0.14342,                   0,            0.075108,             0.78571,            0.072351,            0.015218,            0.074493,             0.13344,                   0,            0.001806,            0.001806,            0.071706
                 151,            0.086409,                0.13,                   0,            0.075671,             0.37815,            0.072446,            0.015568,            0.074212,             0.13354,                   0,           0.0018053,           0.0018053,            0.071505
                 152,            0.090655,               0.153,                   0,             0.07354,             0.42857,            0.069441,            0.014007,            0.074378,             0.13298,                   0,           0.0018045,           0.0018045,            0.071304
                 153,            0.083662,             0.14392,                   0,            0.076187,             0.52381,            0.067971,            0.013074,            0.074025,             0.13324,                   0,           0.0018034,           0.0018034,            0.071103
                 154,            0.082074,             0.14375,                   0,            0.062813,             0.78571,             0.07011,            0.013432,            0.073549,             0.13357,                   0,           0.0018022,           0.0018022,            0.070902
                 155,            0.090796,             0.13399,                   0,            0.062135,             0.47619,            0.062114,            0.011952,            0.073323,             0.13366,                   0,           0.0018009,           0.0018009,            0.070701
                 156,            0.084876,             0.17229,                   0,            0.069211,             0.57143,            0.060507,            0.012463,            0.072972,             0.13382,                   0,           0.0017994,           0.0017994,            0.070499
                 157,            0.086009,             0.13365,                   0,            0.068205,             0.57143,            0.062049,            0.012534,            0.072656,             0.13383,                   0,           0.0017977,           0.0017977,            0.070298
                 158,            0.086371,             0.14462,                   0,            0.063374,             0.58964,            0.059887,            0.011973,            0.072091,             0.13416,                   0,           0.0017959,           0.0017959,            0.070096
                 159,            0.087621,             0.14155,                   0,             0.06561,             0.66667,            0.059947,            0.011973,            0.071794,             0.13381,                   0,           0.0017939,           0.0017939,            0.069894
                 160,            0.081852,             0.12411,                   0,             0.06367,             0.66667,            0.057162,            0.011043,            0.071316,             0.13368,                   0,           0.0017918,           0.0017918,            0.069692
                 161,            0.085191,             0.14196,                   0,            0.060901,             0.66667,            0.057799,            0.011983,            0.070926,              0.1333,                   0,           0.0017895,           0.0017895,             0.06949
                 162,            0.086932,             0.14062,                   0,             0.05403,             0.47619,            0.051728,            0.010642,            0.070853,             0.13242,                   0,           0.0017871,           0.0017871,            0.069287
                 163,            0.085693,             0.11976,                   0,            0.057725,             0.69048,             0.05681,            0.012796,            0.070494,             0.13205,                   0,           0.0017845,           0.0017845,            0.069084
                 164,            0.081441,             0.12275,                   0,            0.058616,             0.54762,            0.056433,            0.013672,            0.070018,             0.13227,                   0,           0.0017818,           0.0017818,            0.068882
                 165,            0.086375,              0.1374,                   0,             0.07689,              0.2619,            0.060121,              0.0117,            0.069922,             0.13138,                   0,           0.0017789,           0.0017789,            0.068679
                 166,             0.08745,             0.11343,                   0,            0.076252,             0.28571,            0.060881,            0.011864,            0.069702,             0.13114,                   0,           0.0017759,           0.0017759,            0.068476
                 167,             0.09168,             0.12885,                   0,            0.086812,              0.2381,             0.06229,             0.01219,            0.069781,             0.13054,                   0,           0.0017727,           0.0017727,            0.068273
                 168,            0.085712,               0.106,                   0,            0.088962,             0.23715,            0.062718,            0.011445,             0.06973,             0.12975,                   0,           0.0017694,           0.0017694,            0.068069
